id,first_name,second_name,team,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,selected_by_percent
649,Boubacar,Traoré,20,Milieu,5.0,0,0,0,0,0,0.0
650,Tawanda,Chirewa,20,Milieu,4.4,0,0,0,0,0,0.3
651,Tom,Edozie,20,Milieu,4.4,0,0,0,0,0,0.4
652,Enso,González Medina,20,Milieu,4.4,0,0,0,0,0,1.3
653,Joe,Hodge,20,Milieu,4.5,0,0,0,0,0,0.0
654,Jørgen,Strand Larsen,20,Attaquant,6.4,4,158,0,0,0,3.0
655,Fábio,Soares Silva,20,Attaquant,4.9,0,0,0,0,0,0.4
656,Saša,Kalajdžić,20,Attaquant,4.9,1,14,0,0,0,0.1
657,Leon,Chiwome,20,Attaquant,4.5,0,0,0,0,0,0.0
658,Nathan,Fraser,20,Attaquant,4.4,0,0,0,0,0,2.0
663,Jhon,Arias,20,Milieu,5.4,4,135,0,0,0,0.4
682,David,Møller Wolfe,20,Défenseur,4.5,6,131,0,1,0,0.1
695,Jackson,Tchatchoua,20,Défenseur,4.5,2,117,0,0,0,0.0
709,Ladislav,Krejcí,20,Défenseur,4.5,0,0,0,0,0,0.0
720,Tolu,Arokodare,20,Attaquant,5.5,0,0,0,0,0,0.0
